Job Title,Company,Location,Expiry Date,Job Description
Electrical Design Engineer,Vacancy Mail,Harare,Expires 30 May 2025,"Are you passionate about designing innovative electrical solutions and ensuring the highest levels of technical excellence? At Power Systems Africa, we're looking for a skilled Electrical Design Engineer to join our growing team and help us deliver industry-leading engineering solutions to our customers."
SALES REPS,Vacancy Mail,Harare,Expires 16 May 2025,Young energetic people to fill in the role of sales representatives.
Receptionist/ PA to the Managing Director,Vacancy Mail,Harare,Expires 22 Apr 2025,Power Systems Africa is looking for a Dynamic Receptionist who doubles as a PA to the Managing Director on a full time basis.
"Baseline Assessment for the project, “Integrated Emergency Response for El Niño Drought Affected Communities in Zimbabwe,",Vacancy Mail,Harare,Expires 25 Apr 2025,"Oxfam is a global movement of people who are fighting inequality to end poverty and injustice. Across regions, from the local to the global, we work with people to bring change that lasts. OVERVIEW Title and brief description of the assignment Baseline Assessment for the project, “Integrated Emergency Response for …"
Call for Supplier`s Registration for the period (January 2026 to December 2028),Vacancy Mail,Harare,Expires 09 May 2025,Methodist Development and Relief Agency (MeDRA) Call for Supplier`s Registration for the period (January 2026 to December 2028) ABOUT MEDRA MeDRA is a faith-based local NGO which is part of the mission of The Methodist Church in Zimbabwe whose mandate is to implement Humanitarian and Developmental programmes that promotes socio-economic …
Administration Assistant Intern,Vacancy Mail,Harare,Expires 23 Apr 2025,TSCZ is seeking an Administration Assistant Intern.
IT and Support Graduate trainee,Vacancy Mail,Harare,Expires 21 Apr 2025,"We are looking for a highly motivated and dynamic IT Graduate Trainee with a Business Management background, IT support knowledge, and an interest in sales and marketing. This role is ideal for someone eager to expand their career by combining IT expertise with sales and marketing responsibilities."
Automachanic,Vacancy Mail,Harare,Expires 21 Apr 2025,"5 years experienced auto mechanic responsible to attend, diagnose, repair, maintain and report all auto mechanic issues within our organisation"
Mechanic,Vacancy Mail,Harare,Expires 21 Apr 2025,"5 years experienced Mechanic who will be responsible to attend, maintain, repair and diagnose our company vehicles for smooth running of the business"
Developers Wanted for Global Opportunities,Vacancy Mail,Harare,Expires 15 May 2025,Are you a talented developer eager to work on cutting-edge global projects? We partner with international companies to connect skilled developers like you with high-impact roles that match your expertise and ambitions.
